"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestFilterStructSlice","0","TestFilterStructSlice","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestFilterStructSlice","TestFilterStructSlice"
"Test cases for TestDatabase_NullUUID","0","TestDatabase_NullUUID","","Tue Dec 23 00:54:59 UTC 2025","passed","Tue Dec 23 00:54:59 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_NullUUID","TestDatabase_NullUUID"
"","300","should render an SavedQueryPermissions component","SaveQueryDialog","Tue Dec 23 00:55:55 UTC 2025","passed","Tue Dec 23 00:55:55 UTC 2025","","","",""
"Test cases for TestAddOrderByToNeo4jQuery_NoOrderByClause","0","TestAddOrderByToNeo4jQuery_NoOrderByClause","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddOrderByToNeo4jQuery_NoOrderByClause","TestAddOrderByToNeo4jQuery_NoOrderByClause"
"","34","is disabled if no filters are active","AssetGroupEdit","Tue Dec 23 00:56:51 UTC 2025","passed","Tue Dec 23 00:56:51 UTC 2025","","Clear Filters button","",""
"Test cases for TestAddWhereClauseToNeo4jQuery_WithWhereClause","0","TestAddWhereClauseToNeo4jQuery_WithWhereClause","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddWhereClauseToNeo4jQuery_WithWhereClause","TestAddWhereClauseToNeo4jQuery_WithWhereClause"
"","62","populates the source and destination node fields when query params are passed","usePathfindingSearch","Tue Dec 23 00:57:41 UTC 2025","passed","Tue Dec 23 00:57:41 UTC 2025","","","",""
"","208","onCancel is called when cancel is clicked","Enable2FADialog","Tue Dec 23 00:57:52 UTC 2025","passed","Tue Dec 23 00:57:52 UTC 2025","","","",""
"Test cases for TestSupportsETACMiddleware","0","TestSupportsETACMiddleware","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestSupportsETACMiddleware","TestSupportsETACMiddleware"
"","149","returns false when no nodes are available","useGraphHasData","Tue Dec 23 00:59:18 UTC 2025","passed","Tue Dec 23 00:59:19 UTC 2025","","","",""
"Test cases for TestResources_UpdateCustomNodeKindsTest","47","TestResources_UpdateCustomNodeKindsTest","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateCustomNodeKindsTest","TestResources_UpdateCustomNodeKindsTest"
"","825","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and power user role is selected","UpdateUserForm","Tue Dec 23 00:56:02 UTC 2025","passed","Tue Dec 23 00:56:02 UTC 2025","","","",""
"","2","should return null if the edge key does not have enough information","getEdgeDataFromKey","Tue Dec 23 01:01:02 UTC 2025","passed","Tue Dec 23 01:01:02 UTC 2025","","","",""
"","514","displays correct content based on platform filter AD","CommonSearches","Tue Dec 23 00:56:42 UTC 2025","passed","Tue Dec 23 00:56:43 UTC 2025","","","",""
"","197","shows Popper when isCurrentSearchOpen is true","GraphControls","Tue Dec 23 00:56:32 UTC 2025","passed","Tue Dec 23 00:56:32 UTC 2025","","Searching current results","",""
"","241","should render","SSOProviderTable","Tue Dec 23 00:58:32 UTC 2025","passed","Tue Dec 23 00:58:33 UTC 2025","","","",""
"","60","enables filtering out for tags that are treated as Labels (including Owned)","the useAssetGroupTags utilities","Tue Dec 23 00:56:45 UTC 2025","passed","Tue Dec 23 00:56:45 UTC 2025","","","",""
"","370","renders the popup content with run, edit/share, and delete when the menu trigger","ListItemActionMenu","Tue Dec 23 00:58:26 UTC 2025","passed","Tue Dec 23 00:58:27 UTC 2025","","","",""
"Test cases for TestResources_GetEnterpriseCAEntityInfo","137","TestResources_GetEnterpriseCAEntityInfo","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEnterpriseCAEntityInfo","TestResources_GetEnterpriseCAEntityInfo"
"","1588","should close the edge filtering dialog when user clicks apply button","EdgeFilter","Tue Dec 23 00:57:48 UTC 2025","passed","Tue Dec 23 00:57:50 UTC 2025","","","",""
"Test cases for TestSignRequestValuesSuccess","0","TestSignRequestValuesSuccess","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestValuesSuccess","TestSignRequestValuesSuccess"
"Test cases for TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","0","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser"
"Test cases for TestResources_ListAuditLogs_DBError","0","TestResources_ListAuditLogs_DBError","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_DBError","TestResources_ListAuditLogs_DBError"
"","475","calls onSave without current password when requireCurrentPassword is false","PasswordDialog","Tue Dec 23 00:56:15 UTC 2025","passed","Tue Dec 23 00:56:16 UTC 2025","","","",""
"","725","renders a button that expands the filter section","AssetGroupEdit","Tue Dec 23 00:56:49 UTC 2025","passed","Tue Dec 23 00:56:50 UTC 2025","","","",""
"","66","renders the title","ProcessingIndicator","Tue Dec 23 00:59:52 UTC 2025","passed","Tue Dec 23 00:59:52 UTC 2025","","","",""
"Test cases for TestResources_ListAuditLogs_Filtered","0","TestResources_ListAuditLogs_Filtered","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_Filtered","TestResources_ListAuditLogs_Filtered"
"","190","displays an error when unable to fetch data","EarlyAccessFeatures","Tue Dec 23 01:00:41 UTC 2025","passed","Tue Dec 23 01:00:41 UTC 2025","","","",""
"","147","should display ""Create Token"" button","UserTokenManagementDialog","Tue Dec 23 00:58:32 UTC 2025","passed","Tue Dec 23 00:58:32 UTC 2025","","","",""
"","9","should render a Field when the provided value is -0","Field","Tue Dec 23 00:59:21 UTC 2025","passed","Tue Dec 23 00:59:21 UTC 2025","","","",""
"","294","should not render list items for domains that are not collected","Context Selector","Tue Dec 23 00:56:09 UTC 2025","passed","Tue Dec 23 00:56:09 UTC 2025","","","",""
"Test cases for TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","0","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin"
"Test cases for TestHandleDatabaseErrorNotFound","0","TestHandleDatabaseErrorNotFound","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseErrorNotFound","TestHandleDatabaseErrorNotFound"
"","404","renders no asset group edit options without graph write permissions","ContextMenu","Tue Dec 23 00:56:38 UTC 2025","passed","Tue Dec 23 00:56:39 UTC 2025","","","",""
"","352","sets exploreSearchTab param to pathfinding when the user clicks the `pathfinding` tab","ExploreSearch sets searchType on tab changing","Tue Dec 23 01:00:24 UTC 2025","passed","Tue Dec 23 01:00:24 UTC 2025","","","",""
"","185","continue button is disabled when no SSO provider has been selected","LoginViaSSOForm","Tue Dec 23 00:58:23 UTC 2025","passed","Tue Dec 23 00:58:23 UTC 2025","","","",""
"Test cases for TestResources_ListADDomainForeignGroups","1","TestResources_ListADDomainForeignGroups","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignGroups","TestResources_ListADDomainForeignGroups"
"Test cases for TestParseLimitQueryParameter_BadFormat","1","TestParseLimitQueryParameter_BadFormat","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseLimitQueryParameter_BadFormat","TestParseLimitQueryParameter_BadFormat"
"","324","should call onClose when the Close button is clicked","UpsertSAMLProviderForm","Tue Dec 23 00:58:44 UTC 2025","passed","Tue Dec 23 00:58:45 UTC 2025","","","",""
"","415","calls handleFilterChange when a node type is selected","AssetGroupEdit","Tue Dec 23 00:56:51 UTC 2025","passed","Tue Dec 23 00:56:51 UTC 2025","","Node Type dropdown filter","",""
"","0","fails for password without special characters","testPassword","Tue Dec 23 00:59:51 UTC 2025","passed","Tue Dec 23 00:59:51 UTC 2025","","","",""
"","2","should compute normal vectors for line segments","bezier","Tue Dec 23 01:00:40 UTC 2025","passed","Tue Dec 23 01:00:40 UTC 2025","","","",""
"","427","renders a list of asset group members","GroupManagement","Tue Dec 23 01:00:36 UTC 2025","passed","Tue Dec 23 01:00:37 UTC 2025","","","",""
"","215","Expand button causes table to expand to full height","ExploreTable","Tue Dec 23 00:55:50 UTC 2025","passed","Tue Dec 23 00:55:51 UTC 2025","","","",""
"Test cases for TestParsePreferHeaderWait","0","TestParsePreferHeaderWait","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParsePreferHeaderWait","TestParsePreferHeaderWait"
"","284","sets the calendar date to match the valid","ManagedDatePicker - value","Tue Dec 23 00:57:50 UTC 2025","passed","Tue Dec 23 00:57:51 UTC 2025","","","",""
"Test cases for Test_parseRelationshipKindsParam","0","Test_parseRelationshipKindsParam","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_parseRelationshipKindsParam","Test_parseRelationshipKindsParam"
"Test cases for TestMarshalInt","0","TestMarshalInt","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalInt","TestMarshalInt"
"Test cases for TestUnmarshalString","1","TestUnmarshalString","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalString","TestUnmarshalString"
"","15","renders disabled prop when flag is not enabled","FeatureFlag","Tue Dec 23 00:58:48 UTC 2025","passed","Tue Dec 23 00:58:48 UTC 2025","","","",""
"Test cases for TestDisenrollMFA_Failure","1","TestDisenrollMFA_Failure","","Tue Dec 23 00:55:22 UTC 2025","passed","Tue Dec 23 00:55:22 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Failure","TestDisenrollMFA_Failure"
"","20","renders custom icon correctly","NodeIcon","Tue Dec 23 00:59:14 UTC 2025","passed","Tue Dec 23 00:59:14 UTC 2025","","","",""
"","50","renders section when no errors occur","EntityInfoCollapsibleSection","Tue Dec 23 00:59:22 UTC 2025","passed","Tue Dec 23 00:59:22 UTC 2025","","","",""
"Test cases for TestResources_GetSearchResult","0","TestResources_GetSearchResult","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetSearchResult","TestResources_GetSearchResult"
"","121","should fire Cancel once with false","DeleteConfirmationDialog","Tue Dec 23 00:59:21 UTC 2025","passed","Tue Dec 23 00:59:21 UTC 2025","","","",""
"Test cases for TestManagementResource_ListAuthTokens_SortingError","0","TestManagementResource_ListAuthTokens_SortingError","","Tue Dec 23 00:55:20 UTC 2025","passed","Tue Dec 23 00:55:20 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_SortingError","TestManagementResource_ListAuthTokens_SortingError"
"Test cases for TestWriteAndValidateZip","0","TestWriteAndValidateZip","","Tue Dec 23 00:55:05 UTC 2025","passed","Tue Dec 23 00:55:05 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestWriteAndValidateZip","TestWriteAndValidateZip"
"Test cases for Test_ParseAndValidatePayload","0","Test_ParseAndValidatePayload","","Tue Dec 23 00:55:05 UTC 2025","passed","Tue Dec 23 00:55:05 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/Test_ParseAndValidatePayload","Test_ParseAndValidatePayload"
"Test cases for TestResources_GetDatabaseCompleteness","34","TestResources_GetDatabaseCompleteness","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetDatabaseCompleteness","TestResources_GetDatabaseCompleteness"
"Test cases for Test_UseFixture","0","Test_UseFixture","","Tue Dec 23 00:55:12 UTC 2025","passed","Tue Dec 23 00:55:12 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_UseFixture","Test_UseFixture"
"","5","safely handles removing nonexistent key","useObjectState","Tue Dec 23 00:59:17 UTC 2025","passed","Tue Dec 23 00:59:17 UTC 2025","","","",""
"","319","should not have less characters than the minimum requirement","UpdateUserForm","Tue Dec 23 00:56:00 UTC 2025","passed","Tue Dec 23 00:56:00 UTC 2025","","","",""
"","494","should display Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and user role is selected","CreateUserForm","Tue Dec 23 00:56:24 UTC 2025","passed","Tue Dec 23 00:56:25 UTC 2025","","","",""
"","7","renders without label when label is empty string","StatusIndicator","Tue Dec 23 00:59:42 UTC 2025","passed","Tue Dec 23 00:59:42 UTC 2025","","","",""
"","102","buttons are disabled while loading","PasswordResetForm","Tue Dec 23 00:57:41 UTC 2025","passed","Tue Dec 23 00:57:41 UTC 2025","","","",""
"Test cases for TestResources_ListAuditLogs_SkipAndOffset","0","TestResources_ListAuditLogs_SkipAndOffset","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_SkipAndOffset","TestResources_ListAuditLogs_SkipAndOffset"
"","252","validates that the name input is under the max length","Tag Form","Tue Dec 23 00:55:54 UTC 2025","passed","Tue Dec 23 00:55:54 UTC 2025","","","",""
"","36","initializes with the given state","useObjectState","Tue Dec 23 00:59:17 UTC 2025","passed","Tue Dec 23 00:59:17 UTC 2025","","","",""
"Test cases for TestAddWhereClauseToNeo4jQuery_NoWhereClause","0","TestAddWhereClauseToNeo4jQuery_NoWhereClause","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddWhereClauseToNeo4jQuery_NoWhereClause","TestAddWhereClauseToNeo4jQuery_NoWhereClause"
"Test cases for Test_HarnessSetup","0","Test_HarnessSetup","","Tue Dec 23 00:55:12 UTC 2025","passed","Tue Dec 23 00:55:12 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_HarnessSetup","Test_HarnessSetup"
"Test cases for TestWriteBinaryResponse","0","TestWriteBinaryResponse","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteBinaryResponse","TestWriteBinaryResponse"
"Test cases for TestResources_ListADDomainForeignGPOControllers","1","TestResources_ListADDomainForeignGPOControllers","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignGPOControllers","TestResources_ListADDomainForeignGPOControllers"
"Copyright 2021 The Go Authors. All rights reserved.TestConcat was ripped from go1.22 source and should be replaced with the stdlib implementation when we move to 1.22Original source: https:","0","TestConcat_too_large","","Tue Dec 23 00:55:13 UTC 2025","passed","Tue Dec 23 00:55:13 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestConcat_too_large","TestConcat_too_large"
"Test cases for TestUnmarshalInt64Overflow","0","TestUnmarshalInt64Overflow","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64Overflow","TestUnmarshalInt64Overflow"
"Test cases for TestStringFromPtr","0","TestStringFromPtr","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFromPtr","TestStringFromPtr"
"","154","adds node to asset group tag without confirmation","AssetGroupMenuItem","Tue Dec 23 00:56:53 UTC 2025","passed","Tue Dec 23 00:56:53 UTC 2025","","","",""
"","5","sets autoDisplayTable to false if query type is pathfinding","useExploreTableAutoDisplay","Tue Dec 23 00:58:52 UTC 2025","passed","Tue Dec 23 00:58:52 UTC 2025","","","",""
"Test cases for TestBoolEqual","0","TestBoolEqual","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolEqual","TestBoolEqual"
"","24","renders GraphButton with correct text","GraphControls","Tue Dec 23 00:56:32 UTC 2025","passed","Tue Dec 23 00:56:32 UTC 2025","","Searching current results","",""
"","750","calls onSave when valid form inputs are provided","PasswordDialog","Tue Dec 23 00:56:15 UTC 2025","passed","Tue Dec 23 00:56:15 UTC 2025","","","",""
"Test cases for TestResources_CreateCustomNodeKindsTest","61","TestResources_CreateCustomNodeKindsTest","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateCustomNodeKindsTest","TestResources_CreateCustomNodeKindsTest"
"","773","shows a warning for using labels associated with tags in zone forms","Rule Form","Tue Dec 23 00:56:12 UTC 2025","passed","Tue Dec 23 00:56:13 UTC 2025","","","",""
"","1006","should render the cypher search controls when user clicks on cypher tab","ExploreSearch rendering per tab","Tue Dec 23 01:00:23 UTC 2025","passed","Tue Dec 23 01:00:24 UTC 2025","","","",""
"Test cases for TestGetMFAActivationStatus_Success","0","TestGetMFAActivationStatus_Success","","Tue Dec 23 00:55:28 UTC 2025","passed","Tue Dec 23 00:55:28 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestGetMFAActivationStatus_Success","TestGetMFAActivationStatus_Success"
"Test cases for TestManagementResource_ListUsers_SortingError","0","TestManagementResource_ListUsers_SortingError","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_SortingError","TestManagementResource_ListUsers_SortingError"
"Test cases for TestDatabase_GetAssetGroupTagSelector","0","TestDatabase_GetAssetGroupTagSelector","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestDatabase_GetAssetGroupTagSelector","TestDatabase_GetAssetGroupTagSelector"
"","6","removes multiple keys from state","useObjectState","Tue Dec 23 00:59:17 UTC 2025","passed","Tue Dec 23 00:59:17 UTC 2025","","","",""
"","45","adds a notification - checks values","AppNotifications","Tue Dec 23 00:58:42 UTC 2025","passed","Tue Dec 23 00:58:42 UTC 2025","","","",""
"","278","on clicking switch shows modal and when clicking confirm closes it and switch changes to enabled","CitrixRDPConfiguration","Tue Dec 23 00:56:56 UTC 2025","passed","Tue Dec 23 00:56:56 UTC 2025","","Click on switch to enable","",""
"","0","returns true if arrays have same content in different order","areArraysSimilar","Tue Dec 23 00:59:31 UTC 2025","passed","Tue Dec 23 00:59:31 UTC 2025","","","",""
